,mse,AUC,bic.tr,bic.TPR,bic.TNR,t,it,mse,AUC,bic.tr,bic.TPR,bic.TNR,t,it
vari,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000
oblimin,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000
quartmin,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000
simplimax,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000
geominQ,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000
promax,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000
irls1,0.010,0.997,0.979,0.979,0.979,0.291,82.486,0.0092348,0.988,0.964,0.937,0.977,0.542,141.664
irls0.5,0.011,0.996,0.979,0.979,0.978,0.134,34.754,0.010,0.988,0.964,0.937,0.977,0.361,86.888
lasso0.01,0.009,0.997,0.981,0.979,0.983,0.719,450.798,0.008,0.989,0.967,0.941,0.979,2.541,926.094
lasso0.05,0.009,0.997,0.984,0.979,0.988,0.186,116.506,0.007,0.992,0.971,0.944,0.985,0.585,208.756
lasso0.1,0.017,0.992,0.983,0.973,0.991,0.200,122.640,0.012,0.987,0.970,0.937,0.986,0.510,183.510
lasso0.2,0.079,0.869,0.841,0.767,0.907,0.838,535.916,0.038,0.903,0.915,0.794,0.976,5.854,2136.768
lasso0.5,0.244,0.500,0.534,0.001,1.000,0.021,9.816,0.144,0.520,0.683,0.074,0.988,0.314,118.740
vari,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000
oblimin,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000
quartmin,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000
simplimax,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000
geominQ,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000
promax,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000
irls1,0.005,1.000,0.993,0.993,0.992,0.246,74.756,0.00446181,0.998,0.987,0.981,0.990,0.490,125.320
irls0.5,0.005,1.000,0.993,0.992,0.993,0.121,32.462,0.005,0.998,0.986,0.980,0.990,0.341,78.180
lasso0.01,0.004,1.000,0.992,0.992,0.993,0.481,306.736,0.003,0.998,0.989,0.983,0.992,1.702,617.950
lasso0.05,0.006,1.000,0.993,0.992,0.993,0.124,78.924,0.005,0.999,0.990,0.985,0.993,0.360,129.136
lasso0.1,0.015,0.996,0.992,0.988,0.995,0.146,91.630,0.011,0.995,0.989,0.979,0.994,0.557,198.178
lasso0.2,0.076,0.880,0.858,0.809,0.902,0.791,511.858,0.034,0.919,0.932,0.822,0.987,4.856,1769.588
lasso0.5,0.244,0.500,0.533,0.000,1.000,0.019,8.998,0.149,0.506,0.672,0.024,0.996,0.125,47.716
vari,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000
oblimin,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000
quartmin,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000
simplimax,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000
geominQ,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000
promax,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000
irls1,0.003,1.000,0.997,0.999,0.995,0.252,75.506,0.0022502,1.000,0.996,0.996,0.996,0.429,106.890
irls0.5,0.003,1.000,0.997,0.999,0.995,0.126,31.910,0.002,1.000,0.996,0.996,0.996,0.321,74.854
lasso0.01,0.002,1.000,0.997,1.000,0.995,0.375,229.744,0.002,1.000,0.996,0.997,0.996,1.095,397.994
lasso0.05,0.005,1.000,0.997,0.999,0.996,0.100,62.204,0.004,1.000,0.997,0.998,0.996,0.244,89.420
lasso0.1,0.014,0.998,0.997,0.995,0.999,0.144,87.810,0.010,0.998,0.996,0.993,0.997,0.476,170.994
lasso0.2,0.074,0.886,0.866,0.823,0.903,0.899,569.634,0.032,0.929,0.941,0.837,0.993,2.924,1076.360
lasso0.5,0.244,0.500,0.533,0.000,1.000,0.020,9.000,0.150,0.502,0.668,0.007,0.999,0.058,21.882
